City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Barrow,US,2020-06-25 21:52:30,71.29,-156.79,42.8,93,90,12.75
70,Homer,US,2020-06-25 21:51:46,59.64,-151.55,59.0,54,75,4.7
71,Dikson,RU,2020-06-25 21:54:15,73.51,80.55,35.78,96,100,7.18
72,Hobyo,SO,2020-06-25 21:54:15,5.35,48.53,79.41,75,82,26.75
73,Souillac,MU,2020-06-25 21:54:16,-20.52,57.52,71.6,78,40,11.41
74,Nikolskoye,RU,2020-06-25 21:54:16,59.7,30.79,66.2,72,0,6.71
75,Hilo,US,2020-06-25 21:53:50,19.73,-155.09,84.2,54,1,9.17
76,Kapaa,US,2020-06-25 21:54:16,22.08,-159.32,82.4,78,40,8.05
77,Port Keats,AU,2020-06-25 21:54:16,-14.25,129.55,62.78,31,1,9.78
78,Coquimbo,CL,2020-06-25 21:54:16,-29.95,-71.34,59.0,62,100,13.87
79,Torbay,CA,2020-06-25 21:52:03,47.67,-52.73,73.99,78,40,25.28
80,Emerald,AU,2020-06-25 21:54:16,-23.53,148.17,46.99,75,0,4.7
81,Dunedin,NZ,2020-06-25 21:54:16,-45.87,170.5,48.0,84,87,3.0
82,Dharchula,IN,2020-06-25 21:54:16,29.85,80.53,69.55,72,93,1.61
83,Preobrazheniye,RU,2020-06-25 21:54:17,42.9,133.91,57.99,93,100,16.58
84,Los Llanos De Aridane,ES,2020-06-25 21:54:17,28.66,-17.92,71.6,78,20,16.11
85,Santa Rita,BR,2020-06-25 21:54:17,-7.11,-34.98,75.2,83,9,5.82
86,Zalesovo,RU,2020-06-25 21:54:17,53.99,84.74,57.72,86,6,4.74
87,Nador,MA,2020-06-25 21:54:01,35.17,-2.93,73.4,78,0,3.36
88,Srednekolymsk,RU,2020-06-25 21:54:17,67.45,153.68,78.76,36,55,13.4
89,Saint-Augustin,CA,2020-06-25 21:54:17,51.23,-58.65,60.37,90,100,10.49
90,Upernavik,GL,2020-06-25 21:54:17,72.79,-56.15,37.26,89,40,0.89
91,Atuona,PF,2020-06-25 21:54:17,-9.8,-139.03,79.59,74,0,13.91
92,Lagoa,PT,2020-06-25 21:54:18,39.05,-27.98,65.73,92,93,17.67
93,Mahebourg,MU,2020-06-25 21:54:18,-20.41,57.7,71.6,78,40,11.41
94,Port Hedland,AU,2020-06-25 21:54:18,-20.32,118.57,53.6,50,0,9.17
95,Klaksvik,FO,2020-06-25 21:54:18,62.23,-6.59,51.8,87,100,6.93
96,Katobu,ID,2020-06-25 21:54:18,-4.94,122.53,73.2,89,11,5.03
97,Kibaya,TZ,2020-06-25 21:54:18,-5.3,36.57,54.97,100,100,3.91
98,Beringovskiy,RU,2020-06-25 21:54:18,63.05,179.32,46.51,64,96,11.61
99,Hajiganj,BD,2020-06-25 21:54:18,23.25,90.86,81.0,86,89,9.91
100,Cherskiy,RU,2020-06-25 21:54:19,68.75,161.3,50.38,67,98,14.74
101,Nishihara,JP,2020-06-25 21:54:19,26.18,127.76,78.8,83,75,8.05
102,Acajutla,SV,2020-06-25 21:54:19,13.59,-89.83,89.6,43,37,4.7
103,Ciudad Bolivar,VE,2020-06-25 21:54:19,8.12,-63.55,81.43,73,95,13.2
104,Catuday,PH,2020-06-25 21:54:19,16.29,119.81,80.76,78,100,4.79
105,Airai,TL,2020-06-25 21:54:19,-8.93,125.41,56.48,100,53,3.18
106,Oka,CA,2020-06-25 21:54:19,45.46,-74.09,73.0,68,75,6.93
107,Bonavista,CA,2020-06-25 21:54:19,48.65,-53.11,61.47,85,10,6.82
108,Saint George,US,2020-06-25 21:50:55,37.1,-113.58,104.0,8,1,10.29
109,Susangerd,IR,2020-06-25 21:54:20,31.56,48.18,95.0,23,0,6.93
110,Itarema,BR,2020-06-25 21:54:20,-2.92,-39.92,79.03,71,78,10.85
111,Emba,KZ,2020-06-25 21:54:20,48.83,58.14,56.3,74,1,10.83
112,Mandalgovi,MN,2020-06-25 21:49:38,45.76,106.27,57.33,69,0,4.07
113,Bethel,US,2020-06-25 21:54:20,41.37,-73.41,86.0,34,20,10.29
114,Hasaki,JP,2020-06-25 21:54:20,35.73,140.83,66.2,100,75,3.36
115,Soyo,AO,2020-06-25 21:54:20,-6.13,12.37,73.49,86,100,8.21
116,Yellowknife,CA,2020-06-25 21:54:20,62.46,-114.35,62.6,55,75,12.75
117,Nanortalik,GL,2020-06-25 21:54:21,60.14,-45.24,41.43,91,100,6.98
118,Hualmay,PE,2020-06-25 21:54:21,-11.1,-77.61,65.3,75,25,8.57
119,Bandarbeyla,SO,2020-06-25 21:54:21,9.49,50.81,80.4,75,100,29.19
120,Victoria,HK,2020-06-25 21:52:23,22.29,114.16,86.0,74,100,15.99
121,Sayat,TM,2020-06-25 21:54:21,38.78,63.88,77.0,27,0,6.93
122,Saskylakh,RU,2020-06-25 21:54:21,71.92,114.08,81.37,31,57,8.39
123,Lompoc,US,2020-06-25 21:52:46,34.64,-120.46,68.0,68,19,13.87
124,Tura,IN,2020-06-25 21:54:21,25.52,90.22,74.7,98,100,8.28
125,Ballina,AU,2020-06-25 21:54:22,-28.87,153.57,53.6,87,90,4.7
126,Vila Velha,BR,2020-06-25 21:54:22,-20.33,-40.29,75.2,78,60,12.75
127,Szod,HU,2020-06-25 21:54:22,47.72,19.17,71.01,82,52,1.99
128,Aklavik,CA,2020-06-25 21:54:22,68.22,-135.01,62.6,55,75,11.41
129,Yeppoon,AU,2020-06-25 21:54:22,-23.13,150.73,51.8,66,0,4.7
130,Guaraciaba Do Norte,BR,2020-06-25 21:50:37,-4.17,-40.75,64.83,91,72,0.16
131,Isangel,VU,2020-06-25 21:54:22,-19.55,169.27,75.2,88,75,5.82
132,Maturin,VE,2020-06-25 21:54:22,9.75,-63.18,77.54,91,100,6.31
133,Quatre Cocos,MU,2020-06-25 21:54:22,-20.21,57.76,73.0,78,40,11.41
134,Qui Nhon,VN,2020-06-25 21:54:23,13.77,109.23,79.61,79,90,3.6
135,Talnakh,RU,2020-06-25 21:54:23,69.49,88.4,55.4,87,37,17.9
136,Skjervoy,NO,2020-06-25 21:54:23,70.03,20.97,50.2,84,95,24.29
137,Sitka,US,2020-06-25 21:52:42,57.05,-135.33,51.8,76,90,8.05
138,Kushmurun,KZ,2020-06-25 21:54:23,52.45,64.63,49.96,76,89,10.02
139,Jipapad,PH,2020-06-25 21:54:23,12.29,125.24,77.23,92,100,0.74
140,Pangnirtung,CA,2020-06-25 21:54:23,66.15,-65.71,44.6,87,90,9.17
141,Mount Gambier,AU,2020-06-25 21:54:23,-37.83,140.77,37.4,100,59,4.7
142,Goderich,CA,2020-06-25 21:54:23,43.75,-81.72,73.0,73,62,11.41
143,Vaini,TO,2020-06-25 21:54:24,-21.2,-175.2,75.2,83,75,6.93
144,Yulin,CN,2020-06-25 21:54:24,22.63,110.15,78.08,91,100,3.83
145,Constitucion,CL,2020-06-25 21:54:24,-35.33,-72.42,50.77,77,100,4.83
146,Pemba,MZ,2020-06-25 21:54:24,-12.97,40.52,73.4,88,20,16.11
147,Uinskoye,RU,2020-06-25 21:54:24,56.88,56.58,42.28,80,61,6.82
148,Linares,CL,2020-06-25 21:54:24,-35.85,-71.6,46.24,83,100,3.65
149,Neyyattinkara,IN,2020-06-25 21:54:24,8.4,77.08,78.8,88,75,2.24
150,Ambon,ID,2020-06-25 21:54:24,-3.7,128.18,78.8,81,93,15.79
151,Vardo,NO,2020-06-25 21:54:24,70.37,31.11,48.2,87,20,5.82
152,Nuuk,GL,2020-06-25 21:54:25,64.18,-51.72,44.6,75,20,9.17
153,Kamensk-Uralskiy,RU,2020-06-25 21:54:25,56.42,61.93,41.79,86,52,10.04
154,Moron,AR,2020-06-25 21:51:26,-34.65,-58.62,51.01,63,0,8.55
155,Port Elizabeth,ZA,2020-06-25 21:53:36,-33.92,25.57,67.93,31,0,11.05
156,Lo Arado,MX,2020-06-25 21:54:25,19.62,-104.58,91.4,66,75,17.22
157,Tasiilaq,GL,2020-06-25 21:54:26,65.61,-37.64,39.2,86,99,8.05
158,Somanda,TZ,2020-06-25 21:54:26,-3.37,33.95,65.93,61,47,8.9
159,Sao Filipe,CV,2020-06-25 21:54:26,14.9,-24.5,74.68,81,15,3.96
160,Jamestown,US,2020-06-25 21:51:05,42.1,-79.24,69.8,64,1,8.05
161,Lavrentiya,RU,2020-06-25 21:54:26,65.58,-171.0,43.93,61,93,14.36
162,Vostok,RU,2020-06-25 21:54:26,46.49,135.88,52.88,100,100,2.64
163,Petrozavodsk,RU,2020-06-25 21:54:26,61.78,34.35,64.4,77,68,4.47
164,Tessalit,ML,2020-06-25 21:54:26,20.2,1.01,95.72,10,9,6.22
165,Severo-Kurilsk,RU,2020-06-25 21:54:27,50.68,156.12,51.21,68,77,12.01
166,Lakes Entrance,AU,2020-06-25 21:54:27,-37.88,147.98,42.01,92,0,11.99
